Age,Monthly_Income,Years_at_Company,Gender,Department,Job_Role,Distance_From_Home,Job_Satisfaction,Work_Life_Balance,Years_Since_Last_Promotion,Overtime,Attrition
45,16972,9,Female,HR,Executive,14,3,3,0,No,No
39,19052,9,Male,Finance,Engineer,1,3,3,0,No,No
30,4662,2,Female,Finance,Sales Rep,47,1,1,6,Yes,Yes
28,18017,12,Female,R&D,Analyst,6,4,3,2,No,No
41,17470,14,Male,R&D,Analyst,7,4,4,1,No,No
23,4371,0,Male,R&D,Executive,41,1,1,4,Yes,Yes
28,6527,2,Male,Finance,Executive,36,1,1,7,Yes,Yes
30,11664,6,Female,Sales,Engineer,1,4,3,2,No,No
36,9251,14,Female,Sales,Manager,1,3,3,2,No,No
32,6402,5,Male,Sales,Analyst,9,3,3,0,No,No
47,14769,12,Female,R&D,Executive,13,3,3,1,No,No
26,3130,3,Male,R&D,Analyst,33,1,1,6,Yes,Yes
25,5816,1,Female,R&D,Analyst,28,1,1,8,Yes,Yes
24,6706,1,Female,R&D,Sales Rep,38,1,1,4,Yes,Yes
27,5917,1,Female,HR,Sales Rep,27,1,1,5,Yes,Yes
31,3933,2,Female,Finance,Analyst,40,1,1,9,Yes,Yes
24,6028,1,Male,Sales,Analyst,30,1,1,7,Yes,Yes
39,14411,13,Male,HR,Executive,9,4,3,2,No,No
35,13719,11,Female,R&D,Executive,10,3,3,0,No,No
40,19025,3,Female,R&D,Manager,6,4,3,1,No,No
26,6030,3,Male,Finance,Executive,31,1,1,8,Yes,Yes
20,4098,0,Male,Sales,Sales Rep,44,1,1,6,Yes,Yes
25,7790,1,Male,Finance,Executive,43,1,1,4,Yes,Yes
49,15078,7,Female,HR,Analyst,11,4,4,0,No,No
31,6103,2,Male,HR,Sales Rep,30,1,1,4,Yes,Yes
36,6370,20,Female,R&D,Manager,14,4,3,2,No,No
31,19955,12,Female,Sales,Manager,8,3,3,2,No,No
34,3086,2,Female,Finance,Analyst,34,1,1,6,Yes,Yes
51,9674,4,Female,HR,Engineer,14,4,3,1,No,No
30,7896,17,Male,Finance,Engineer,12,4,4,0,No,No
21,3001,1,Male,Finance,Executive,25,1,1,7,Yes,Yes
29,7584,0,Female,R&D,Sales Rep,37,1,1,5,Yes,Yes
25,7320,2,Male,HR,Sales Rep,30,1,1,5,Yes,Yes
33,11997,3,Male,Sales,Manager,4,4,3,0,No,No
34,13170,22,Female,Finance,Analyst,3,4,4,2,No,No
25,3175,3,Female,Sales,Sales Rep,27,1,1,6,Yes,Yes
28,7159,1,Male,Sales,Sales Rep,46,1,1,4,Yes,Yes
32,15862,10,Female,Sales,Analyst,14,3,3,1,No,No
28,7312,0,Male,Sales,Analyst,37,1,1,7,Yes,Yes
27,16503,20,Female,Finance,Analyst,3,3,4,1,No,No
33,7629,9,Male,HR,Engineer,8,4,4,1,No,No
21,4075,2,Female,R&D,Sales Rep,41,1,1,7,Yes,Yes
26,19097,4,Female,Sales,Executive,10,4,4,0,No,No
27,4867,3,Male,Finance,Analyst,28,1,1,4,Yes,Yes
30,3791,1,Female,Sales,Executive,28,1,1,8,Yes,Yes
30,4677,3,Male,HR,Executive,27,1,1,6,Yes,Yes
40,17712,12,Female,HR,Engineer,14,4,3,0,No,No
48,13204,22,Female,R&D,Manager,3,3,3,1,No,No
30,10819,19,Female,R&D,Analyst,13,4,4,1,No,No
25,13265,11,Female,Finance,Engineer,2,4,3,1,No,No
28,5871,2,Male,R&D,Executive,42,1,1,8,Yes,Yes
26,7853,3,Female,Finance,Analyst,35,1,1,5,Yes,Yes
35,16894,23,Female,R&D,Engineer,10,3,3,0,No,No
31,18731,19,Female,R&D,Manager,2,4,3,1,No,No
42,7375,19,Female,Sales,Analyst,13,4,4,0,No,No
34,7569,1,Male,Sales,Sales Rep,45,1,1,4,Yes,Yes
28,3790,2,Female,Sales,Analyst,41,1,1,7,Yes,Yes
38,17167,5,Male,Finance,Engineer,9,3,3,0,No,No
36,16528,22,Female,Sales,Manager,12,4,4,2,No,No
31,15914,21,Female,R&D,Engineer,10,3,4,0,No,No
35,10490,3,Female,HR,Manager,14,3,3,1,No,No
31,4543,3,Male,Sales,Sales Rep,48,1,1,8,Yes,Yes
24,3238,0,Male,Finance,Analyst,34,1,1,8,Yes,Yes
27,7822,2,Male,R&D,Sales Rep,30,1,1,6,Yes,Yes
42,19345,21,Female,R&D,Engineer,10,4,4,1,No,No
33,7845,3,Male,Sales,Executive,38,1,1,8,Yes,Yes
37,17440,22,Male,HR,Manager,12,3,4,0,No,No
26,7075,3,Male,R&D,Sales Rep,44,1,1,4,Yes,Yes
36,8360,23,Male,R&D,Executive,2,3,4,2,No,No
40,16301,10,Male,Sales,Engineer,8,4,4,1,No,No
44,17362,12,Female,R&D,Engineer,11,4,4,2,No,No
23,6286,3,Female,HR,Executive,35,1,1,4,Yes,Yes
31,5744,2,Female,Sales,Sales Rep,48,1,1,5,Yes,Yes
51,9903,23,Female,HR,Executive,7,3,4,0,No,No
35,7469,24,Female,Finance,Manager,10,4,3,0,No,No
36,17248,16,Female,R&D,Manager,14,4,4,0,No,No
24,3647,1,Female,R&D,Executive,44,1,1,7,Yes,Yes
50,14495,11,Female,Finance,Engineer,10,3,4,0,No,No
34,6692,3,Male,Sales,Executive,45,1,1,7,Yes,Yes
24,5037,2,Male,Sales,Executive,46,1,1,7,Yes,Yes
49,18679,5,Male,HR,Manager,3,4,3,2,No,No
28,11435,21,Male,R&D,Engineer,1,4,3,2,No,No
34,6559,12,Female,Sales,Engineer,5,4,3,0,No,No
33,5743,1,Female,R&D,Sales Rep,29,1,1,5,Yes,Yes
30,4123,3,Male,Sales,Sales Rep,29,1,1,9,Yes,Yes
25,6707,0,Female,R&D,Executive,37,1,1,7,Yes,Yes
42,13031,13,Male,R&D,Manager,7,3,3,2,No,No
48,7436,3,Female,HR,Engineer,6,4,4,0,No,No
31,14675,18,Female,R&D,Manager,9,4,3,2,No,No
28,6594,0,Female,R&D,Sales Rep,37,1,1,6,Yes,Yes
25,7575,2,Male,Sales,Sales Rep,28,1,1,7,Yes,Yes
42,8251,5,Female,Sales,Manager,14,3,4,1,No,No
31,5524,3,Female,R&D,Executive,37,1,1,4,Yes,Yes
24,7525,1,Male,R&D,Executive,40,1,1,4,Yes,Yes
24,4799,2,Female,Finance,Sales Rep,40,1,1,5,Yes,Yes
29,16900,10,Male,HR,Executive,14,4,4,0,No,No
49,11776,23,Female,Finance,Executive,14,4,4,2,No,No
40,9207,6,Male,Finance,Engineer,1,4,3,2,No,No
26,14996,19,Female,HR,Analyst,6,4,3,2,No,No
28,4754,2,Male,R&D,Analyst,49,1,1,4,Yes,Yes
21,7050,0,Female,Sales,Sales Rep,35,1,1,8,Yes,Yes
52,6165,9,Male,R&D,Manager,1,4,3,1,No,No
30,3489,0,Female,HR,Analyst,42,1,1,7,Yes,Yes
41,13050,4,Male,Finance,Engineer,6,3,4,0,No,No
31,7613,0,Female,Finance,Executive,44,1,1,4,Yes,Yes
23,6601,0,Female,HR,Executive,41,1,1,8,Yes,Yes
25,15664,11,Male,R&D,Executive,6,4,4,1,No,No
30,5314,0,Female,Sales,Analyst,47,1,1,5,Yes,Yes
40,15028,22,Male,HR,Engineer,3,3,3,0,No,No
41,14195,20,Female,Finance,Analyst,1,3,3,1,No,No
20,3266,1,Male,Sales,Executive,28,1,1,9,Yes,Yes
27,7477,2,Female,HR,Analyst,28,1,1,9,Yes,Yes
31,6004,2,Male,Finance,Analyst,48,1,1,9,Yes,Yes
51,17163,12,Male,Finance,Manager,13,4,3,2,No,No
40,10680,19,Male,Finance,Analyst,7,4,4,2,No,No
25,4957,3,Male,Finance,Executive,30,1,1,9,Yes,Yes
27,5011,1,Female,R&D,Analyst,36,1,1,7,Yes,Yes
32,4938,0,Female,Finance,Executive,33,1,1,8,Yes,Yes
49,13043,13,Male,R&D,Executive,11,3,4,1,No,No
26,3021,2,Female,Finance,Executive,32,1,1,6,Yes,Yes
41,10869,24,Female,R&D,Analyst,10,4,3,2,No,No
24,6321,3,Female,HR,Analyst,48,1,1,5,Yes,Yes
38,8000,3,Male,Sales,Engineer,7,4,4,2,No,No
34,17910,12,Female,Sales,Executive,10,4,4,0,No,No
51,19091,9,Male,HR,Executive,13,4,4,1,No,No
33,7380,2,Female,HR,Executive,49,1,1,4,Yes,Yes
36,11690,3,Female,Finance,Engineer,3,3,3,2,No,No
26,5241,1,Male,Finance,Analyst,47,1,1,9,Yes,Yes
38,12033,7,Female,Sales,Analyst,3,4,4,1,No,No
22,7066,3,Female,R&D,Analyst,49,1,1,4,Yes,Yes
20,7732,1,Female,R&D,Sales Rep,32,1,1,5,Yes,Yes
33,4537,1,Male,HR,Sales Rep,47,1,1,8,Yes,Yes
38,8600,12,Female,R&D,Engineer,10,3,3,2,No,No
34,15166,21,Female,HR,Manager,4,3,4,0,No,No
43,17580,22,Female,Sales,Engineer,6,3,4,0,No,No
29,4983,2,Male,R&D,Analyst,40,1,1,7,Yes,Yes
52,11307,11,Female,HR,Executive,5,3,4,0,No,No
54,19699,17,Male,Finance,Manager,10,3,4,1,No,No
42,16277,8,Female,HR,Engineer,6,4,3,1,No,No
40,17957,11,Male,Sales,Manager,1,4,4,0,No,No
33,3384,1,Male,Sales,Analyst,40,1,1,6,Yes,Yes
33,6765,2,Male,HR,Sales Rep,30,1,1,5,Yes,Yes
31,4691,3,Male,HR,Analyst,46,1,1,9,Yes,Yes
41,14045,9,Female,Sales,Engineer,8,3,3,0,No,No
33,6038,17,Male,Sales,Manager,11,4,4,1,No,No
47,16057,7,Female,Sales,Executive,1,3,4,2,No,No
26,5030,0,Female,HR,Executive,30,1,1,6,Yes,Yes
23,5485,2,Male,Sales,Executive,31,1,1,4,Yes,Yes
53,10917,23,Male,R&D,Analyst,3,3,3,1,No,No
34,8157,8,Female,HR,Analyst,8,3,3,1,No,No
39,13857,16,Male,Finance,Engineer,13,3,3,0,No,No
43,10073,6,Female,Sales,Engineer,9,3,4,1,No,No
34,5046,2,Female,Sales,Executive,47,1,1,9,Yes,Yes
37,18834,17,Male,HR,Executive,9,4,3,2,No,No
28,17177,15,Female,HR,Manager,6,3,4,1,No,No
30,6110,2,Male,HR,Sales Rep,44,1,1,4,Yes,Yes
22,6968,2,Male,R&D,Executive,39,1,1,8,Yes,Yes
26,7730,2,Male,HR,Sales Rep,42,1,1,9,Yes,Yes
27,9477,5,Male,HR,Executive,14,4,3,2,No,No
41,17162,4,Male,R&D,Manager,10,4,3,2,No,No
21,6348,1,Male,Finance,Analyst,49,1,1,4,Yes,Yes
35,7074,10,Male,Sales,Analyst,3,3,4,2,No,No
35,18667,12,Male,HR,Manager,6,4,4,0,No,No
53,13756,6,Male,Sales,Engineer,1,3,4,0,No,No
23,3566,2,Female,Sales,Analyst,33,1,1,9,Yes,Yes
39,14338,23,Female,HR,Analyst,8,4,3,2,No,No
34,16706,7,Male,HR,Executive,13,3,4,1,No,No
25,6512,6,Female,Sales,Engineer,11,3,3,0,No,No
44,9351,8,Female,Finance,Analyst,7,3,3,2,No,No
33,3760,1,Female,Finance,Sales Rep,41,1,1,4,Yes,Yes
28,6150,2,Male,R&D,Sales Rep,42,1,1,4,Yes,Yes
26,7053,1,Male,Finance,Executive,34,1,1,4,Yes,Yes
31,4825,0,Male,Sales,Analyst,37,1,1,8,Yes,Yes
44,15657,12,Female,Sales,Executive,3,3,3,1,No,No
25,3248,0,Male,R&D,Executive,48,1,1,7,Yes,Yes
30,3843,3,Female,Finance,Analyst,38,1,1,6,Yes,Yes
34,14882,7,Female,Sales,Manager,8,4,4,1,No,No
22,7504,1,Male,R&D,Executive,45,1,1,5,Yes,Yes
38,8237,10,Male,Finance,Analyst,3,3,3,0,No,No
38,19670,21,Male,Sales,Executive,10,4,3,0,No,No
47,12643,6,Female,HR,Analyst,2,4,4,2,No,No
47,11461,4,Male,R&D,Manager,14,3,3,0,No,No
34,7314,15,Female,Finance,Analyst,4,4,4,2,No,No
33,11234,21,Male,HR,Executive,12,3,4,1,No,No
28,7095,3,Male,HR,Analyst,30,1,1,9,Yes,Yes
33,7233,3,Female,R&D,Sales Rep,32,1,1,7,Yes,Yes
52,6690,18,Male,HR,Analyst,14,4,4,1,No,No
46,6660,14,Male,HR,Engineer,9,4,4,2,No,No
22,5641,0,Female,Sales,Sales Rep,45,1,1,9,Yes,Yes
30,3488,3,Female,HR,Sales Rep,47,1,1,7,Yes,Yes
41,8101,18,Female,R&D,Executive,14,3,4,0,No,No
27,7599,3,Male,R&D,Analyst,46,1,1,6,Yes,Yes
28,12152,6,Male,R&D,Analyst,5,4,3,1,No,No
47,9877,13,Male,R&D,Manager,8,4,4,2,No,No
21,5662,1,Female,Finance,Analyst,47,1,1,8,Yes,Yes
35,17611,24,Male,Finance,Manager,7,4,4,2,No,No
22,6836,2,Female,Finance,Analyst,47,1,1,4,Yes,Yes
31,19703,15,Male,Sales,Manager,8,4,4,2,No,No
29,11660,20,Female,HR,Executive,2,3,3,0,No,No
33,3421,2,Female,HR,Analyst,31,1,1,4,Yes,Yes
30,7963,1,Female,HR,Sales Rep,33,1,1,7,Yes,Yes
38,16523,24,Female,Finance,Analyst,6,4,3,0,No,No
29,5491,1,Male,Finance,Analyst,49,1,1,8,Yes,Yes
34,6504,0,Male,R&D,Analyst,42,1,1,6,Yes,Yes
41,17540,5,Male,R&D,Manager,13,3,4,0,No,No
46,12960,10,Female,Sales,Analyst,10,4,4,0,No,No
54,8971,4,Male,R&D,Analyst,9,4,4,1,No,No
26,19810,3,Female,Sales,Manager,7,3,3,0,No,No
39,8590,8,Male,Sales,Analyst,2,4,3,0,No,No
22,3756,0,Male,Finance,Sales Rep,42,1,1,7,Yes,Yes
23,3521,0,Male,Finance,Sales Rep,45,1,1,4,Yes,Yes
34,6617,3,Male,Finance,Executive,33,1,1,4,Yes,Yes
27,5783,1,Female,Sales,Executive,29,1,1,7,Yes,Yes
27,3168,0,Female,Sales,Analyst,33,1,1,6,Yes,Yes
27,6504,3,Male,Finance,Analyst,38,1,1,9,Yes,Yes
20,7559,0,Female,R&D,Analyst,25,1,1,8,Yes,Yes
31,7302,8,Male,Finance,Analyst,2,4,3,0,No,No
54,15152,5,Female,R&D,Analyst,6,3,4,0,No,No
23,6792,0,Male,Sales,Sales Rep,47,1,1,4,Yes,Yes
51,19024,4,Male,HR,Engineer,11,4,4,2,No,No
54,11695,4,Female,Sales,Engineer,2,4,3,2,No,No
29,4282,2,Female,R&D,Analyst,44,1,1,5,Yes,Yes
20,7971,3,Male,R&D,Sales Rep,46,1,1,6,Yes,Yes
21,3359,2,Male,R&D,Analyst,46,1,1,8,Yes,Yes
30,6404,3,Female,R&D,Executive,29,1,1,4,Yes,Yes
40,14432,21,Female,Finance,Manager,11,4,4,1,No,No
25,6796,2,Male,HR,Sales Rep,26,1,1,6,Yes,Yes
46,19776,6,Male,HR,Executive,9,4,4,0,No,No
25,4772,1,Male,Sales,Analyst,39,1,1,7,Yes,Yes
22,5034,3,Female,Finance,Analyst,40,1,1,9,Yes,Yes
31,7711,3,Male,R&D,Executive,41,1,1,9,Yes,Yes
39,18205,10,Female,R&D,Manager,14,3,3,2,No,No
28,18229,9,Male,Finance,Analyst,12,3,4,2,No,No
38,15181,23,Female,Sales,Engineer,6,4,3,1,No,No
41,8373,13,Male,Sales,Executive,7,4,4,0,No,No
33,4623,3,Male,Finance,Executive,48,1,1,6,Yes,Yes
25,7078,3,Female,R&D,Executive,27,1,1,7,Yes,Yes
26,7834,3,Female,Sales,Analyst,31,1,1,7,Yes,Yes
29,11084,24,Female,R&D,Analyst,4,4,4,2,No,No
25,6166,2,Male,R&D,Analyst,46,1,1,5,Yes,Yes
33,4909,2,Female,HR,Sales Rep,25,1,1,6,Yes,Yes
44,10958,15,Female,R&D,Executive,11,3,4,1,No,No
32,17768,13,Male,Sales,Executive,8,3,4,0,No,No
25,4043,3,Female,R&D,Sales Rep,32,1,1,7,Yes,Yes
33,3265,2,Female,HR,Executive,27,1,1,9,Yes,Yes
34,6965,12,Male,Sales,Engineer,7,3,4,0,No,No
32,12381,9,Male,R&D,Analyst,11,4,4,1,No,No
31,3352,2,Female,HR,Sales Rep,31,1,1,5,Yes,Yes
42,9954,21,Female,R&D,Manager,8,3,4,1,No,No
31,18885,6,Female,R&D,Executive,2,4,4,2,No,No
27,6861,3,Female,R&D,Executive,29,1,1,4,Yes,Yes
33,14907,10,Female,HR,Analyst,14,4,4,2,No,No
31,3210,2,Male,Sales,Analyst,43,1,1,9,Yes,Yes
33,3266,0,Female,Sales,Analyst,46,1,1,4,Yes,Yes
32,3130,2,Female,Finance,Executive,29,1,1,4,Yes,Yes
45,9024,19,Female,HR,Analyst,2,4,3,2,No,No
41,12385,7,Male,Sales,Engineer,2,3,3,2,No,No
24,6509,2,Female,R&D,Analyst,30,1,1,9,Yes,Yes
33,6206,2,Male,Sales,Executive,43,1,1,5,Yes,Yes
38,14139,15,Female,Sales,Analyst,7,3,3,0,No,No
34,4470,3,Male,Finance,Executive,39,1,1,5,Yes,Yes
47,19406,8,Female,R&D,Analyst,6,4,3,1,No,No
35,12058,18,Male,Sales,Executive,3,3,4,1,No,No
46,8912,10,Female,Sales,Manager,4,3,3,2,No,No
34,5838,3,Male,HR,Sales Rep,33,1,1,5,Yes,Yes
54,7301,13,Female,R&D,Analyst,14,4,4,1,No,No
31,3135,0,Female,Sales,Analyst,35,1,1,4,Yes,Yes
50,12604,9,Male,R&D,Executive,10,3,3,0,No,No
25,3374,1,Male,R&D,Sales Rep,49,1,1,9,Yes,Yes
33,12265,11,Male,HR,Engineer,7,3,3,0,No,No
26,10558,18,Male,Sales,Executive,12,3,4,2,No,No
35,11914,4,Female,HR,Analyst,12,4,3,1,No,No
31,4098,3,Male,Finance,Executive,27,1,1,8,Yes,Yes
33,5235,1,Male,Sales,Executive,37,1,1,8,Yes,Yes
20,5749,0,Male,R&D,Sales Rep,26,1,1,4,Yes,Yes
38,8211,6,Male,Finance,Analyst,10,4,4,0,No,No
34,12857,5,Female,R&D,Engineer,13,3,4,2,No,No
41,18540,10,Female,Sales,Engineer,9,4,3,1,No,No
32,15302,8,Female,HR,Manager,2,3,3,1,No,No
54,19380,11,Female,Sales,Manager,13,3,4,2,No,No
52,14173,16,Female,Finance,Manager,9,4,3,0,No,No
38,13374,22,Male,HR,Executive,10,4,4,2,No,No
30,3837,3,Female,R&D,Executive,46,1,1,8,Yes,Yes
20,7433,1,Male,Finance,Analyst,44,1,1,7,Yes,Yes
27,7808,3,Male,Sales,Sales Rep,41,1,1,9,Yes,Yes
26,7181,1,Male,HR,Executive,31,1,1,8,Yes,Yes
43,18547,15,Female,R&D,Manager,9,4,3,1,No,No
32,4534,0,Male,Finance,Sales Rep,29,1,1,9,Yes,Yes
32,5697,0,Male,Finance,Analyst,41,1,1,6,Yes,Yes
30,6581,1,Male,Finance,Sales Rep,28,1,1,4,Yes,Yes
50,7959,8,Male,R&D,Executive,8,4,4,0,No,No
51,11062,16,Male,Finance,Manager,6,4,4,2,No,No
21,5367,2,Female,Sales,Sales Rep,29,1,1,9,Yes,Yes
40,17785,17,Male,R&D,Engineer,10,3,4,2,No,No
25,3580,0,Male,R&D,Executive,26,1,1,4,Yes,Yes
34,5162,2,Female,R&D,Executive,40,1,1,9,Yes,Yes
41,15010,24,Female,Sales,Executive,2,4,3,2,No,No
28,3602,0,Female,Finance,Sales Rep,46,1,1,7,Yes,Yes
47,19548,20,Male,Sales,Manager,6,4,3,2,No,No
43,11229,20,Male,R&D,Executive,1,3,3,0,No,No
30,16371,23,Female,HR,Executive,7,4,4,0,No,No
29,7342,1,Female,Finance,Executive,47,1,1,9,Yes,Yes
30,6169,0,Male,Sales,Executive,29,1,1,7,Yes,Yes
20,6308,1,Female,Finance,Executive,37,1,1,5,Yes,Yes
32,6346,0,Female,HR,Sales Rep,32,1,1,4,Yes,Yes
33,5686,1,Female,HR,Analyst,45,1,1,4,Yes,Yes
33,7132,0,Female,HR,Executive,32,1,1,7,Yes,Yes
29,7148,1,Female,Sales,Sales Rep,40,1,1,7,Yes,Yes
24,7132,3,Female,Finance,Sales Rep,39,1,1,8,Yes,Yes
51,10840,19,Female,Sales,Executive,13,4,3,0,No,No
31,4533,1,Female,Sales,Executive,41,1,1,4,Yes,Yes
48,11850,11,Male,R&D,Executive,9,4,3,1,No,No
44,17647,21,Male,HR,Analyst,1,3,4,0,No,No
20,3279,1,Male,R&D,Executive,30,1,1,7,Yes,Yes
33,7493,0,Male,R&D,Executive,37,1,1,7,Yes,Yes
39,10651,4,Male,Sales,Executive,4,3,4,2,No,No
27,11578,13,Male,Sales,Engineer,13,3,3,0,No,No
52,6687,13,Male,R&D,Engineer,6,4,4,2,No,No
29,7041,1,Female,R&D,Analyst,38,1,1,4,Yes,Yes
52,13763,14,Male,Sales,Executive,6,3,3,0,No,No
24,3091,3,Female,HR,Executive,27,1,1,4,Yes,Yes
24,3600,3,Female,Sales,Executive,29,1,1,8,Yes,Yes
24,6492,1,Male,Sales,Executive,31,1,1,7,Yes,Yes
41,7035,20,Male,Sales,Analyst,5,4,4,1,No,No
49,12389,11,Female,R&D,Manager,1,4,3,0,No,No
46,13418,17,Female,HR,Manager,14,3,3,2,No,No
35,12054,3,Female,R&D,Manager,5,3,3,0,No,No
31,18776,10,Male,HR,Manager,14,4,4,0,No,No
24,3351,0,Female,HR,Analyst,43,1,1,8,Yes,Yes
27,3460,0,Female,Sales,Sales Rep,42,1,1,7,Yes,Yes
39,19710,11,Male,Finance,Manager,9,3,4,0,No,No
48,16239,8,Male,Sales,Manager,1,4,4,1,No,No
25,3353,1,Male,R&D,Sales Rep,38,1,1,4,Yes,Yes
47,13169,4,Female,Finance,Executive,13,4,4,2,No,No
30,13208,9,Male,HR,Executive,14,3,3,2,No,No
30,5966,0,Male,Finance,Analyst,29,1,1,8,Yes,Yes
24,6756,0,Male,HR,Executive,46,1,1,9,Yes,Yes
42,15030,20,Female,R&D,Engineer,14,3,3,1,No,No
26,7985,1,Female,Finance,Analyst,44,1,1,6,Yes,Yes
32,5820,2,Male,Finance,Executive,48,1,1,5,Yes,Yes
37,16976,4,Male,R&D,Manager,8,3,3,2,No,No
45,17340,24,Female,Sales,Executive,13,4,4,2,No,No
34,6258,3,Male,HR,Sales Rep,38,1,1,8,Yes,Yes
49,15214,12,Male,HR,Executive,12,3,3,2,No,No
34,11736,10,Female,HR,Executive,9,4,4,2,No,No
33,9134,10,Male,R&D,Analyst,10,3,3,1,No,No
32,12129,15,Male,HR,Analyst,8,3,4,2,No,No
33,6444,3,Female,R&D,Sales Rep,30,1,1,9,Yes,Yes
27,16266,14,Male,Sales,Executive,13,3,4,1,No,No
31,7498,2,Male,Finance,Executive,44,1,1,6,Yes,Yes
38,9641,3,Female,HR,Engineer,12,3,4,0,No,No
42,12062,10,Male,Finance,Manager,11,4,3,2,No,No
23,5170,0,Female,Finance,Sales Rep,27,1,1,9,Yes,Yes
44,15231,15,Male,Finance,Executive,13,3,4,0,No,No
27,18031,18,Female,Finance,Manager,4,3,3,2,No,No
31,3112,0,Male,R&D,Executive,46,1,1,5,Yes,Yes
51,12623,12,Male,Sales,Executive,3,3,3,0,No,No
30,18518,4,Female,HR,Manager,10,3,4,1,No,No
25,7832,0,Female,R&D,Sales Rep,26,1,1,8,Yes,Yes
26,4440,3,Male,Sales,Sales Rep,27,1,1,4,Yes,Yes
52,10431,11,Female,HR,Analyst,2,4,3,1,No,No
30,3197,0,Female,Finance,Sales Rep,26,1,1,6,Yes,Yes
28,16368,11,Male,R&D,Manager,9,3,4,0,No,No
48,7813,6,Female,HR,Manager,13,4,3,0,No,No
21,7709,0,Female,HR,Executive,43,1,1,8,Yes,Yes
44,10956,22,Male,Finance,Engineer,4,3,4,0,No,No
43,7604,17,Female,Sales,Manager,1,4,4,0,No,No
32,5770,3,Male,Sales,Sales Rep,27,1,1,8,Yes,Yes
54,6343,13,Male,Finance,Manager,1,3,4,0,No,No
34,4819,3,Female,R&D,Sales Rep,26,1,1,4,Yes,Yes
22,5917,0,Female,HR,Analyst,37,1,1,6,Yes,Yes
22,5702,1,Male,HR,Analyst,40,1,1,6,Yes,Yes
35,13988,20,Female,R&D,Analyst,12,4,3,1,No,No
21,5220,3,Female,Finance,Analyst,26,1,1,6,Yes,Yes
41,19741,14,Male,Sales,Engineer,5,4,4,2,No,No
30,5902,1,Male,Finance,Executive,41,1,1,8,Yes,Yes
24,3592,0,Male,R&D,Analyst,26,1,1,4,Yes,Yes
46,9997,20,Female,Finance,Executive,8,3,3,0,No,No
24,5450,3,Male,HR,Sales Rep,28,1,1,9,Yes,Yes
25,4625,1,Male,HR,Analyst,32,1,1,6,Yes,Yes
49,19973,17,Female,Sales,Analyst,2,3,4,1,No,No
21,5370,0,Female,R&D,Analyst,46,1,1,5,Yes,Yes
23,4770,2,Male,Finance,Sales Rep,37,1,1,6,Yes,Yes
33,9554,13,Male,R&D,Analyst,3,3,3,1,No,No
31,5043,3,Male,HR,Sales Rep,25,1,1,4,Yes,Yes
31,6623,2,Male,Sales,Executive,39,1,1,7,Yes,Yes
29,17600,12,Female,HR,Executive,1,3,3,1,No,No
27,15321,3,Female,HR,Analyst,10,4,4,2,No,No
30,11521,19,Female,HR,Engineer,12,4,4,0,No,No
29,5927,0,Male,HR,Sales Rep,34,1,1,4,Yes,Yes
51,18572,6,Male,R&D,Engineer,11,3,3,1,No,No
46,8105,4,Female,Sales,Engineer,12,3,3,2,No,No
32,6880,0,Male,R&D,Analyst,45,1,1,6,Yes,Yes
30,4680,1,Female,Finance,Analyst,45,1,1,4,Yes,Yes
37,8415,16,Male,HR,Engineer,4,3,3,2,No,No
23,3669,0,Male,HR,Analyst,36,1,1,7,Yes,Yes
40,18808,21,Male,HR,Manager,7,3,3,2,No,No
27,19970,16,Male,R&D,Manager,9,4,4,1,No,No
52,14391,10,Female,Finance,Manager,7,4,3,2,No,No
31,7282,0,Female,Finance,Analyst,27,1,1,7,Yes,Yes
32,5256,2,Female,Finance,Analyst,35,1,1,4,Yes,Yes
30,6683,3,Female,R&D,Sales Rep,30,1,1,4,Yes,Yes
26,5813,2,Female,R&D,Executive,46,1,1,4,Yes,Yes
46,19900,14,Female,HR,Analyst,5,3,3,0,No,No
29,13986,17,Female,HR,Engineer,3,4,3,1,No,No
31,6047,1,Male,R&D,Analyst,47,1,1,5,Yes,Yes
26,7909,10,Male,Finance,Executive,6,4,4,1,No,No
41,12187,18,Female,Sales,Executive,13,4,4,2,No,No
23,3558,3,Female,Sales,Executive,42,1,1,8,Yes,Yes
37,6076,11,Female,Finance,Analyst,13,3,4,0,No,No
32,19366,14,Male,Finance,Engineer,5,3,4,0,No,No
50,18179,20,Female,Finance,Analyst,6,3,4,0,No,No
25,18349,9,Female,R&D,Analyst,10,3,4,0,No,No
29,13253,16,Female,Sales,Executive,1,4,4,1,No,No
34,6329,8,Male,R&D,Manager,11,3,4,1,No,No
20,6164,3,Male,Sales,Executive,30,1,1,5,Yes,Yes
30,4580,1,Female,R&D,Executive,45,1,1,6,Yes,Yes
22,4250,0,Male,Sales,Executive,29,1,1,4,Yes,Yes
37,19430,21,Female,R&D,Executive,2,4,3,0,No,No
33,6709,3,Male,Sales,Executive,40,1,1,5,Yes,Yes
30,4397,2,Female,R&D,Executive,48,1,1,7,Yes,Yes
40,11206,18,Male,R&D,Engineer,8,4,3,1,No,No
30,7101,1,Female,Finance,Executive,32,1,1,6,Yes,Yes
28,15851,22,Female,R&D,Engineer,12,4,3,1,No,No
28,3609,0,Male,R&D,Sales Rep,48,1,1,5,Yes,Yes
44,11552,22,Female,Sales,Engineer,13,3,4,1,No,No
38,9864,14,Male,Finance,Analyst,8,3,4,0,No,No
